num,slug,status,superseded,window,transitions
0001,rfc-process,Accepted,,waived/bootstrap,1
0002,agent-identity-and-reasoning-events,Accepted,,unstated,1
0003,agent-packs,Accepted,,unstated,1
0004,memory-layer,Accepted,,unstated,1
0005,conversation,Accepted,,unstated,1
0006,orchestrator,Accepted,,unstated,1
0007,dispatch,Accepted,,unstated,1
0008,wasm-abi,Accepted,,unstated,1
0009,production-profile-conformance,Accepted,,unstated,1
0010,auth-profile-conformance,Accepted,,unstated,1
0011,auth-scoped-discovery,Accepted,,unstated,1
0012,memory-compaction-profile,Accepted,,window-cited,1
0013,workflow-chain-packs,Accepted,,unstated,1
0014,host-fs-capability,Accepted,,unstated,1
0015,host-kv-storage-capability,Accepted,,unstated,1
0016,host-table-storage-capability,Accepted,,unstated,1
0017,host-queue-bus-capability,Accepted,,unstated,1
0018,host-sql-vector-search-capability,Accepted,,unstated,1
0019,host-blob-cache-capability,Accepted,,unstated,1
0020,host-mcp-server-composition,Accepted,,unstated,1
0021,ai-envelope-primitive,Accepted,,unstated,1
0022,dispatch-input-output-mapping,Accepted,,waived/bootstrap,2
0023,conformance-agent-event-emitters,Accepted,,waived/bootstrap,2
0024,agent-reasoning-streaming,Accepted,,unstated,1
0025,test-mode-registry-namespace,Accepted,,unstated,1
0026,provider-usage-event,Accepted,,unstated,1
0027,prompt-templates,Accepted,,unstated,2
0028,prompt-library-endpoints,Accepted,,waived/bootstrap,2
0029,prompt-override-hierarchy,Accepted,,unstated,1
0030,envelope-reasoning-and-tier-one-subset,Accepted,,unstated,1
0031,envelope-variants-and-model-capabilities,Accepted,,unstated,1
0032,envelope-reliability-events,Accepted,,unstated,1
0033,envelope-completion-contract,Accepted,,unstated,1
0034,otel-collector-test-seam,Accepted,,unstated,2
0035,sandbox-execution-contract,Active,,unstated,2
0036,multi-region-and-cross-engine-guarantees,Accepted,,unstated,2
0037,multi-agent-execution-model,Accepted,,waived/bootstrap,2
0038,working-group-charter,Draft,,unstated,0
0039,multi-agent-confidence-and-memory-lifecycle,Accepted,,unstated,2
0040,multi-agent-cross-host-causation,Accepted,,waived/bootstrap,3
0041,multi-agent-replay-under-nondeterminism,Accepted,,waived/bootstrap,2
0042,experimental-capability-tier,Accepted,,waived/bootstrap,2
0043,registry-and-extension-policy,Active,,unstated,1
0044,confidence-escalation-interrupt-kind-advertisement,Accepted,,unstated,2
0045,connector-pack-manifest-action-model,Accepted,,unstated,1
0046,host-credentials-capability,Accepted,,unstated,1
0047,host-oauth-connector-flows,Accepted,,unstated,1
0048,tenant-workspace-principal-identity-model,Accepted,,unstated,1
0049,rbac-scopes-and-authorization-decisions,Accepted,,unstated,1
0050,saml-scim-enterprise-identity-profiles,Accepted,,waived/bootstrap,3
0051,approval-deployment-gate-primitive,Accepted,,unstated,1
0052,scheduling-and-time-based-triggers,Accepted,,unstated,1
0053,dead-letter-routing-and-failure-sinks,Accepted,,unstated,1
0054,run-diff-and-execution-comparison,Accepted,,unstated,3
0055,multimodal-envelope-variants-and-rendering-hints,Accepted,,unstated,2
0056,run-feedback-and-annotation-event,Accepted,,unstated,1
0057,memory-write-attribution-event,Accepted,,unstated,1
0058,run-execution-bounds,Accepted,,unstated,1
0059,agent-workspace,Accepted,,unstated,1
0060,host-heartbeat-capability,Accepted,,unstated,1
