num,status,firstDate,lastDate,spanDays,dateCount,directDraftToAccepted,fullChain
0001,Accepted,2026-05-01,2026-05-13,12,2,false,false
0002,Accepted,2026-05-11,2026-05-11,0,1,false,false
0003,Accepted,2026-05-11,2026-05-11,0,1,false,false
0004,Accepted,2026-05-11,2026-05-11,0,1,false,false
0005,Accepted,2026-05-11,2026-05-11,0,1,false,false
0006,Accepted,2026-05-11,2026-05-11,0,1,false,false
0007,Accepted,2026-05-11,2026-05-11,0,1,false,false
0008,Accepted,2026-05-11,2026-05-13,2,2,false,false
0009,Accepted,2026-05-11,2026-05-12,1,2,false,false
0010,Accepted,2026-05-12,2026-05-12,0,1,false,false
0011,Accepted,2026-05-12,2026-05-12,0,1,false,false
0012,Accepted,2026-05-15,2026-05-15,0,1,false,false
0013,Accepted,2026-05-18,2026-05-18,0,1,false,false
0014,Accepted,2026-05-18,2026-05-18,0,1,false,false
0015,Accepted,2026-05-18,2026-05-18,0,1,false,false
0016,Accepted,2026-05-18,2026-05-18,0,1,false,false
0017,Accepted,2026-05-18,2026-05-18,0,1,false,false
0018,Accepted,2026-05-18,2026-05-18,0,1,false,false
0019,Accepted,2026-05-18,2026-05-18,0,1,false,false
0020,Accepted,2026-05-18,2026-05-18,0,1,false,false
0021,Accepted,2026-05-18,2026-05-18,0,1,false,false
0022,Accepted,2026-05-18,2026-05-19,1,2,false,true
0023,Accepted,2026-05-18,2026-05-18,0,1,false,true
0024,Accepted,2026-05-19,2026-05-19,0,1,false,false
0025,Accepted,2026-05-29,2026-05-29,0,1,false,false
0026,Accepted,2026-05-19,2026-05-19,0,1,false,true
0027,Accepted,2026-05-20,2026-05-23,3,2,false,true
0028,Accepted,2026-05-20,2026-05-25,5,2,false,true
0029,Accepted,2026-05-20,2026-05-26,6,2,false,false
0030,Accepted,2026-05-21,2026-05-21,0,1,false,false
0031,Accepted,2026-05-21,2026-05-21,0,1,false,false
0032,Accepted,2026-05-21,2026-05-21,0,1,false,false
0033,Accepted,2026-05-21,2026-05-21,0,1,false,false
0034,Accepted,2026-05-21,2026-05-23,2,2,false,true
0035,Active,2026-05-21,2026-06-01,11,2,false,true
0036,Accepted,2026-05-21,2026-05-29,8,2,false,true
0037,Accepted,2026-05-21,2026-05-22,1,2,false,true
0038,Draft,2026-05-21,2026-06-11,21,2,false,false
0039,Accepted,2026-05-22,2026-05-22,0,1,false,true
0040,Accepted,2026-05-22,2026-05-24,2,2,false,true
0041,Accepted,2026-05-22,2026-05-25,3,2,false,true
0042,Accepted,2026-05-29,2026-06-01,3,2,false,true
0043,Accepted,2026-05-22,2026-07-07,46,3,false,true
0044,Accepted,2026-05-22,2026-05-22,0,1,false,true
0045,Accepted,2026-05-25,2026-05-25,0,1,false,false
0046,Accepted,2026-05-25,2026-05-25,0,1,false,false
0047,Accepted,2026-05-25,2026-05-25,0,1,false,false
0048,Accepted,2026-05-25,2026-05-25,0,1,false,false
0049,Accepted,2026-05-25,2026-05-25,0,1,false,false
0050,Accepted,2026-05-24,2026-06-01,8,2,false,true
0051,Accepted,2026-05-25,2026-05-25,0,1,false,false
0052,Accepted,2026-05-25,2026-05-25,0,1,false,false
0053,Accepted,2026-05-25,2026-05-25,0,1,false,false
0054,Accepted,2026-05-26,2026-05-29,3,2,false,true
0055,Accepted,2026-05-25,2026-05-26,1,2,false,true
0056,Accepted,2026-05-29,2026-05-29,0,1,false,false
0057,Accepted,2026-05-25,2026-05-26,1,2,false,false
0058,Accepted,2026-05-25,2026-05-26,1,2,false,false
0059,Accepted,2026-05-25,2026-05-25,0,1,false,false
0060,Accepted,2026-05-25,2026-05-25,0,1,false,false
0061,Accepted,2026-05-25,2026-05-26,1,2,false,false
0062,Accepted,2026-05-25,2026-05-25,0,1,false,false
0063,Accepted,2026-05-25,2026-05-25,0,1,false,false
0064,Accepted,2026-05-25,2026-05-25,0,1,false,false
0065,Accepted,2026-05-29,2026-06-01,3,2,false,true
0066,Accepted,2026-05-29,2026-06-01,3,2,false,true
0067,Accepted,2026-05-29,2026-06-01,3,2,false,true
0068,Accepted,2026-05-29,2026-06-01,3,2,false,true
0069,Accepted,2026-05-29,2026-06-01,3,2,false,true
0070,Accepted,2026-05-26,2026-05-27,1,2,false,true
0071,Accepted,2026-05-26,2026-05-26,0,1,false,false
0072,Accepted,2026-05-29,2026-05-29,0,1,false,true
0073,Accepted,2026-05-31,2026-05-31,0,1,true,false
0074,Accepted,2026-05-27,2026-05-27,0,1,false,false
0075,Accepted,2026-05-27,2026-06-01,5,2,false,false
0076,Accepted,2026-05-28,2026-05-29,1,2,false,true
0077,Accepted,2026-05-29,2026-05-31,2,2,false,true
0078,Accepted,2026-05-30,2026-06-01,2,2,false,true
0079,Accepted,2026-05-30,2026-06-01,2,2,false,true
0080,Accepted,2026-05-30,2026-06-01,2,2,false,true
0081,Accepted,2026-05-30,2026-06-01,2,2,false,true
0082,Accepted,2026-05-30,2026-06-01,2,2,false,true
0083,Accepted,2026-05-30,2026-05-31,1,2,false,true
0084,Accepted,2026-05-30,2026-06-01,2,2,false,true
0085,Accepted,2026-05-30,2026-06-01,2,2,false,true
0086,Accepted,2026-05-30,2026-05-31,1,2,false,true
0087,Accepted,2026-05-30,2026-05-31,1,2,false,true
0088,Accepted,2026-06-01,2026-06-01,0,1,false,false
0089,Accepted,2026-06-02,2026-06-02,0,1,false,true
0090,Accepted,2026-06-07,2026-06-08,1,2,false,true
0091,Accepted,2026-06-07,2026-06-08,1,2,false,true
0092,Accepted,2026-06-07,2026-06-08,1,2,false,true
0093,Accepted,2026-06-11,2026-06-11,0,1,false,true
0094,Accepted,2026-06-11,2026-06-11,0,1,false,true
0095,Accepted,2026-06-12,2026-06-12,0,1,false,true
0096,Accepted,2026-06-13,2026-06-14,1,2,false,true
0097,Accepted,2026-06-13,2026-06-14,1,2,false,true
0098,Accepted,2026-06-13,2026-06-14,1,2,false,true
0099,Accepted,2026-06-14,2026-06-14,0,1,false,false
0100,Accepted,2026-06-24,2026-06-24,0,1,false,false
0101,Accepted,2026-06-22,2026-06-22,0,1,true,false
0102,Accepted,2026-06-15,2026-06-15,0,1,false,false
0103,Accepted,2026-06-17,2026-06-18,1,2,false,false
0104,Accepted,2026-06-19,2026-06-19,0,1,false,false
0105,Accepted,2026-06-20,2026-06-21,1,2,false,true
0106,Accepted,2026-06-23,2026-06-24,1,2,false,true
0107,Accepted,2026-06-23,2026-06-23,0,1,false,false
0108,Accepted,2026-06-24,2026-06-24,0,1,false,true
0109,Accepted,2026-06-24,2026-06-24,0,1,true,false
0110,Accepted,2026-06-24,2026-06-24,0,1,true,false
0111,Active,2026-06-26,2026-06-26,0,1,false,false
0112,Accepted,2026-06-26,2026-06-27,1,2,false,false
0113,Accepted,2026-06-26,2026-06-27,1,2,false,false
0114,Accepted,2026-06-26,2026-07-06,10,2,false,false
0115,Accepted,2026-06-26,2026-06-27,1,2,false,false
0116,Accepted,2026-06-26,2026-07-06,10,2,false,false
0117,Accepted,2026-06-27,2026-07-06,9,2,false,true
0118,Accepted,2026-06-27,2026-06-28,1,2,false,true
0119,Accepted,2026-06-28,2026-07-06,8,3,false,true
0120,Accepted,2026-06-28,2026-06-29,1,2,false,true
0121,Active,2026-07-01,2026-07-01,0,1,false,true
0122,Accepted,2026-07-02,2026-07-02,0,1,false,false
0123,Accepted,2026-07-02,2026-07-06,4,2,false,true
0124,Accepted,2026-07-04,2026-07-04,0,1,false,false
0125,Accepted,2026-07-04,2026-07-04,0,1,false,false
0126,Accepted,2026-07-04,2026-07-04,0,1,false,false
0127,Accepted,2026-07-06,2026-07-06,0,1,false,true
0128,Accepted,2026-07-06,2026-07-06,0,1,false,true
0129,Accepted,2026-07-06,2026-07-06,0,1,false,true
0130,Accepted,2026-07-07,2026-07-07,0,1,false,true
0131,Accepted,2026-07-07,2026-07-07,0,1,true,false
